sourceTransportPort,destinationTransportPort,flowStartSeconds,flowEndSecond,DNSQueryName,label,Total count of characters in FQDN,subdomain_len,upper_count,number_count,begin_with_num,entropy,label_count,max_label_length,avg_label_length
51478,53,1502671058.0,1502671064.0,img02.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
29388,53,1507521384.0,1507521385.0,kuaishou.p29.tcdnvod.com,0,24.0,8.0,0.0,2.0,0.0,3.9387218755408675,4.0,8.0,5.25
54985,53,1507184673.0,1507184674.0,tx.acgvideo.com.v3.tcdnvod.com,0,30.0,2.0,0.0,1.0,0.0,3.5362434129830604,6.0,8.0,4.166666666666667
41003,53,1506393830.0,1506393836.0,apd-uv160i.v.smtcdns.com,0,24.0,10.0,0.0,3.0,0.0,3.9701755214643453,4.0,10.0,5.25
32852,53,1507522778.0,1507522785.0,553475.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.855388542207534,4.0,7.0,5.25
40661,53,1506266728.0,1506266734.0,pcdowngs.titan.mgtv.com.gosuncdn.com,0,36.0,8.0,0.0,0.0,0.0,3.673416585305445,6.0,8.0,5.166666666666667
36454,53,1508092433.0,1508092439.0,img3x9.ddimg.cn.xdy-cdn.cn,0,26.0,6.0,0.0,2.0,0.0,3.4116022179746714,5.0,7.0,4.4
38752,53,1507877346.0,1507877355.0,560.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.5368867237421666,4.0,8.0,4.0
33409,53,1507884304.0,1507884304.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
1050,53,1507546421.0,1507546422.0,bc.gsvc.gosuncdn.com,0,20.0,2.0,0.0,0.0,0.0,3.2841837197791888,4.0,8.0,4.25
39840,53,1507876345.0,1507876345.0,ctslb-oy-bgp-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
34428,53,1507279753.0,1507279753.0,123p0.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,4.0,1.0,3.8928647666912815,6.0,8.0,5.166666666666667
30620,53,1507500708.0,1507500709.0,vod2.china.qiniu.stage.tcdnvod.com,0,34.0,4.0,0.0,1.0,0.0,3.870284076978158,6.0,7.0,4.833333333333333
36115,53,1507794909.0,1507794910.0,i-7y7-com.mipcdn.com,0,20.0,9.0,0.0,2.0,0.0,3.346439344671015,3.0,9.0,6.0
14206,53,1507824869.0,1507824870.0,451.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
9269,53,1507862547.0,1507862548.0,ns2.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.2998963911678914,4.0,8.0,4.75
9416,53,1502593682.0,1502593688.0,704636.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
41491,53,1507543148.0,1507543155.0,3g-club-xywy-com.mipcdn.com,0,27.0,16.0,0.0,1.0,1.0,3.884155094595805,3.0,16.0,8.333333333333334
5227,53,1507826384.0,1507826390.0,v11-hs.ixigua.com.v4.tcdnvod.com,0,32.0,6.0,0.0,3.0,0.0,3.941428031846024,6.0,7.0,4.5
51473,53,1507714788.0,1507714788.0,ctslb-oy-bgp-tel.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7810760119146067,3.0,16.0,9.333333333333334
57216,53,1507901219.0,1507901225.0,ctslb-bgp-oy.ctripgslb.com,0,26.0,12.0,0.0,0.0,0.0,3.719294525666979,3.0,12.0,8.0
25673,53,1507816610.0,1507816616.0,123p0.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,4.0,1.0,3.8928647666912815,6.0,8.0,5.166666666666667
9401,53,1507303034.0,1507303040.0,788.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.4316235658474303,4.0,8.0,4.0
6432,53,1507820881.0,1507820881.0,img-llnw-091.xvideos-cdn.com,0,28.0,12.0,0.0,3.0,0.0,4.066108939837481,3.0,12.0,8.666666666666666
6254,53,1507827935.0,1507827935.0,684397.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.8796640049025934,4.0,7.0,4.75
47705,53,1502588890.0,1502588891.0,390128.sp.spcdntip.com,0,22.0,6.0,0.0,6.0,1.0,3.8453509366224354,4.0,8.0,4.75
62505,53,1507140106.0,1507140106.0,mip-xitongzhijia-net.mipcdn.com,0,31.0,20.0,0.0,0.0,0.0,3.8858280691364313,3.0,20.0,9.666666666666666
58385,53,1507558157.0,1507558157.0,ctslb-oy-bgp-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
26986,53,1507523609.0,1507523615.0,azure-vod.bestvcdn.com.cn.mccdnglb.com,0,38.0,9.0,0.0,0.0,0.0,3.8758494743010163,6.0,9.0,5.5
23964,53,1507738094.0,1507738100.0,tx.acgvideo.com.v3.tcdnvod.com,0,30.0,2.0,0.0,1.0,0.0,3.5362434129830604,6.0,8.0,4.166666666666667
32089,53,1507509242.0,1507509248.0,ctslb-bgp-oy10.ctripgslb.com,0,28.0,14.0,0.0,2.0,0.0,3.8962915290459277,3.0,14.0,8.666666666666666
34575,53,1507482337.0,1507482338.0,cdn.bank.10044.cn.mccdnglb.com,0,30.0,3.0,0.0,5.0,0.0,3.532914563979398,6.0,8.0,4.166666666666667
18306,53,1505709867.0,1505709874.0,196.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
33159,53,1508121690.0,1508121696.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
7326,53,1502460726.0,1502460726.0,530629.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.7887549139935026,4.0,7.0,4.75
6769,53,1507138324.0,1507138325.0,inews-ifeng-com.mipcdn.com,0,26.0,15.0,0.0,0.0,0.0,3.661226256269789,3.0,15.0,8.0
16500,53,1507908143.0,1507908149.0,ns2.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.2998963911678914,4.0,8.0,4.75
35742,53,1508161355.0,1508161361.0,galaxy.sogoucdn.com.stage.tcdnvod.com,0,37.0,6.0,0.0,0.0,0.0,3.7639413803488413,6.0,8.0,5.333333333333333
36505,53,1507777089.0,1507777095.0,mip-sosuo-name.mipcdn.com,0,25.0,14.0,0.0,0.0,0.0,3.573660689688186,3.0,14.0,7.666666666666667
57922,53,1507279730.0,1507279737.0,img5.cdn.u17i.com.gosuncdn.com,0,30.0,4.0,0.0,3.0,0.0,3.511080496244278,6.0,8.0,4.166666666666667
64062,53,1508085765.0,1508085771.0,vod2.china.qiniu.stage.tcdnvod.com,0,34.0,4.0,0.0,1.0,0.0,3.870284076978158,6.0,7.0,4.833333333333333
46569,53,1507543503.0,1507543509.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
39137,53,1507738451.0,1507738452.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
36525,53,1507147443.0,1507147444.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
1465,53,1507521219.0,1507521225.0,tx.acgvideo.com.v3.tcdnvod.com,0,30.0,2.0,0.0,1.0,0.0,3.5362434129830604,6.0,8.0,4.166666666666667
40740,53,1507166917.0,1507166923.0,mip-xiangha-com.mipcdn.com,0,26.0,15.0,0.0,0.0,0.0,3.565448371820825,3.0,15.0,8.0
30417,53,1508086948.0,1508086954.0,684397.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.8796640049025934,4.0,7.0,4.75
12677,53,1507234052.0,1507234058.0,apd-1uc3p4e.v.smtcdns.com,0,25.0,11.0,0.0,3.0,0.0,3.943465189601646,4.0,11.0,5.5
21038,53,1502893528.0,1502893534.0,864.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
49971,53,1501627133.0,1501627140.0,img01.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
61772,53,1507549858.0,1507549859.0,sec-m.ctrip.com.ctripgslb.com,0,29.0,5.0,0.0,0.0,0.0,3.604031754555149,5.0,9.0,5.0
45674,53,1507809376.0,1507809377.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
14796,53,1507745340.0,1507745346.0,im.ctrip.com.jq.cnc.ctripgslb.com,0,33.0,2.0,0.0,0.0,0.0,3.5738085129044896,7.0,9.0,3.857142857142857
10156,53,1502771603.0,1502771604.0,img02.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
23750,53,1507822964.0,1507822970.0,kuaishou.p29.tcdnvod.com,0,24.0,8.0,0.0,2.0,0.0,3.9387218755408675,4.0,8.0,5.25
32468,53,1507161915.0,1507161922.0,ctslb-oy-bgp-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
43803,53,1507794464.0,1507794470.0,123p0.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,4.0,1.0,3.8928647666912815,6.0,8.0,5.166666666666667
64610,53,1507805170.0,1507805171.0,342548.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
49027,53,1508138590.0,1508138590.0,m-wzshipin-com.mipcdn.com,0,25.0,14.0,0.0,0.0,0.0,3.5434651896016467,3.0,14.0,7.666666666666667
62878,53,1502452519.0,1502452525.0,k7.3.591mogu.com.sp.spcdntip.com,0,32.0,2.0,0.0,5.0,0.0,3.8584585933443494,7.0,8.0,3.7142857142857144
56456,53,1502544473.0,1502544474.0,560.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.5368867237421666,4.0,8.0,4.0
48456,53,1507180762.0,1507180769.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
64348,53,1502842546.0,1502842547.0,654420.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
56406,53,1507521544.0,1507521551.0,684397.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.8796640049025934,4.0,7.0,4.75
50340,53,1507511236.0,1507511242.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
8341,53,1507738491.0,1507738497.0,622375.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
52168,53,1507827673.0,1507827679.0,v11-xg.ixigua.com.v4.tcdnvod.com,0,32.0,6.0,0.0,3.0,0.0,3.816428031846024,6.0,7.0,4.5
43308,53,1502440654.0,1502440654.0,530629.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.7887549139935026,4.0,7.0,4.75
58409,53,1507694266.0,1507694266.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
63113,53,1502732947.0,1502732947.0,595.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.4316235658474303,4.0,8.0,4.0
38136,53,1508124679.0,1508124679.0,galaxy.sogoucdn.com.stage.tcdnvod.com,0,37.0,6.0,0.0,0.0,0.0,3.7639413803488413,6.0,8.0,5.333333333333333
39700,53,1507779141.0,1507779147.0,ctslb-jq-bgp-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.8029100796497266,3.0,16.0,9.333333333333334
12348,53,1507502362.0,1507502369.0,299.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.4316235658474303,4.0,8.0,4.0
63586,53,1508155390.0,1508155391.0,base.ctrip.com.jq.ctripgslb.com,0,31.0,4.0,0.0,0.0,0.0,3.8054982305663327,6.0,9.0,4.333333333333333
35787,53,1502703453.0,1502703459.0,img04.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
63496,53,1505679495.0,1505679502.0,k7.1.591mogu.com.sp.spcdntip.com,0,32.0,2.0,0.0,5.0,0.0,3.7959585933443494,7.0,8.0,3.7142857142857144
1268,53,1501676349.0,1501676355.0,img03.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
2544,53,1507651657.0,1507651663.0,ctslb-bgp-oy-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
12959,53,1508132473.0,1508132474.0,galaxy.sogoucdn.com.stage.tcdnvod.com,0,37.0,6.0,0.0,0.0,0.0,3.7639413803488413,6.0,8.0,5.333333333333333
54045,53,1508118260.0,1508118266.0,p2paudio.ctrip.com.oy.cnc.ctripgslb.com,0,39.0,8.0,0.0,1.0,0.0,3.8040063852515473,7.0,9.0,4.714285714285714
48581,53,1508131556.0,1508131562.0,accounts.ctrip.com.ctripgslb.com,0,32.0,8.0,0.0,0.0,0.0,3.6556390622295662,5.0,9.0,5.6
31877,53,1502788144.0,1502788150.0,img.sogoucdn.com.stage.tcdnvod.com,0,34.0,3.0,0.0,0.0,0.0,3.573229210210221,6.0,8.0,4.833333333333333
46706,53,1502863816.0,1502863822.0,342548.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
50978,53,1502514140.0,1502514146.0,img04.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
22901,53,1507769927.0,1507769928.0,photo.cnhubei.com.gosuncdn.com,0,30.0,5.0,0.0,0.0,0.0,3.6280729963885094,5.0,8.0,5.2
17984,53,1502582822.0,1502582822.0,img01.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
45676,53,1502798617.0,1502798623.0,k7.1.591mogu.com.sp.spcdntip.com,0,32.0,2.0,0.0,5.0,0.0,3.7959585933443494,7.0,8.0,3.7142857142857144
44137,53,1505743208.0,1505743208.0,342555.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.855388542207534,4.0,7.0,5.25
49722,53,1507778828.0,1507778828.0,img3m0.ddimg.cn.xdy-cdn.cn,0,26.0,6.0,0.0,2.0,0.0,3.3825680832760763,5.0,7.0,4.4
42391,53,1507237314.0,1507237320.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
23095,53,1508168131.0,1508168132.0,123p0.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,4.0,1.0,3.8928647666912815,6.0,8.0,5.166666666666667
44441,53,1508147445.0,1508147451.0,pcdowngs.titan.mgtv.com.gosuncdn.com,0,36.0,8.0,0.0,0.0,0.0,3.673416585305445,6.0,8.0,5.166666666666667
58593,53,1507180054.0,1507180060.0,ptw.youyuan.com.mccdnglb.com,0,28.0,3.0,0.0,0.0,0.0,3.682005814760214,5.0,8.0,4.8
8170,53,1507752273.0,1507752279.0,www-360doc-cn.mipcdn.com,0,24.0,13.0,0.0,3.0,0.0,3.5535088547976783,3.0,13.0,7.333333333333333
64906,53,1501686555.0,1501686555.0,342552.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.886842188131012,4.0,7.0,5.25
64412,53,1507543141.0,1507543147.0,gimg1.qcdqcdn.com,0,17.0,5.0,0.0,1.0,0.0,3.2195282822995477,3.0,7.0,5.0
46030,53,1507189192.0,1507189192.0,pages.ctrip.com.ctripgslb.com,0,29.0,5.0,0.0,0.0,0.0,3.659536598501246,5.0,9.0,5.0
54386,53,1507906237.0,1507906238.0,mobubt-oysyn.ctrip.com.tel.oy.ctripgslb.com,0,43.0,12.0,0.0,0.0,0.0,3.8591931736496754,7.0,12.0,5.285714285714286
55724,53,1507272686.0,1507272687.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
41377,53,1508102942.0,1508102948.0,mobubt-oysyn.ctrip.com.cnc.oy.ctripgslb.com,0,43.0,12.0,0.0,0.0,0.0,3.760014975824317,7.0,12.0,5.285714285714286
27168,53,1507776916.0,1507776922.0,mpoi-mapbar-com.mipcdn.com,0,26.0,15.0,0.0,0.0,0.0,3.3975819111823524,3.0,15.0,8.0
31023,53,1502436447.0,1502436453.0,467.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
53031,53,1507839247.0,1507839261.0,mg.bc.gsvc.dns02.gosuncdn.com,0,29.0,2.0,0.0,2.0,0.0,3.4830050302680124,6.0,8.0,4.0
46615,53,1507884722.0,1507884722.0,993.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.431623565847431,4.0,8.0,4.0
38601,53,1507707845.0,1507707846.0,v11-nh.ixigua.com.v4.tcdnvod.com,0,32.0,6.0,0.0,3.0,0.0,3.878928031846024,6.0,7.0,4.5
24995,53,1507795235.0,1507795236.0,503994.sp.spcdntip.com,0,22.0,6.0,0.0,6.0,1.0,3.754441845713345,4.0,8.0,4.75
35283,53,1508132188.0,1508132188.0,523.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
64613,53,1507144950.0,1507144957.0,689825.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
54975,53,1507822772.0,1507822773.0,mip-qiushibaike-com.mipcdn.com,0,30.0,19.0,0.0,0.0,0.0,3.828072996388509,3.0,19.0,9.333333333333334
18406,53,1507282407.0,1507282413.0,img7x5.ddimg.cn.xdy-cdn.cn,0,26.0,6.0,0.0,2.0,0.0,3.4116022179746714,5.0,7.0,4.4
62717,53,1501732317.0,1501732317.0,342548.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
40128,53,1501686733.0,1501686740.0,26.sp.spcdntip.com,0,18.0,2.0,0.0,2.0,1.0,3.419381945646371,4.0,8.0,3.75
16958,53,1507809036.0,1507809037.0,p2paudio.ctrip.com.oy.cnc.ctripgslb.com,0,39.0,8.0,0.0,1.0,0.0,3.8040063852515473,7.0,9.0,4.714285714285714
2858,53,1502612172.0,1502612173.0,342554.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.886842188131012,4.0,7.0,5.25
12894,53,1507289595.0,1507289601.0,img3.qcdqcdn.com,0,16.0,4.0,0.0,1.0,0.0,3.202819531114783,3.0,7.0,4.666666666666667
50398,53,1502450553.0,1502450559.0,342551.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
39599,53,1507743750.0,1507743750.0,azure-vod.bestvcdn.com.cn.mccdnglb.com,0,38.0,9.0,0.0,0.0,0.0,3.8758494743010163,6.0,9.0,5.5
15423,53,1508134952.0,1508134958.0,ctslb-oy-bgp-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
14393,53,1502756628.0,1502756629.0,pcdownyd.titan.mgtv.com.p30.tcdnvod.com,0,39.0,8.0,0.0,2.0,0.0,3.720798372486508,7.0,8.0,4.714285714285714
22412,53,1507847538.0,1507847538.0,ns2.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.2998963911678914,4.0,8.0,4.75
53802,53,1508085787.0,1508085796.0,apd-2rfs228.v.smtcdns.com,0,25.0,11.0,0.0,4.0,0.0,3.833269689515108,4.0,11.0,5.5
29448,53,1502860851.0,1502860857.0,img03.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
21155,53,1507280843.0,1507280849.0,ns2.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.2998963911678914,4.0,8.0,4.75
50239,53,1502885873.0,1502885873.0,guahao-tx.stage.tcdnvod.com,0,27.0,9.0,0.0,0.0,0.0,3.8282375018429557,4.0,9.0,6.0
34090,53,1507681925.0,1507681926.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
28214,53,1507648680.0,1507648686.0,img7x6.ddimg.cn.xdy-cdn.cn,0,26.0,6.0,0.0,2.0,0.0,3.4116022179746714,5.0,7.0,4.4
36830,53,1507531155.0,1507531162.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
46110,53,1507785672.0,1507785678.0,img-llnw-045.xvideos-cdn.com,0,28.0,12.0,0.0,3.0,0.0,4.066108939837481,3.0,12.0,8.666666666666666
33142,53,1507497898.0,1507497905.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
